Order ID;Date;Product;Country Code;   UnitCost  2 ;   UnitPrice  2 ;SalesQuantity
47;16/02/16;Porridge (Birmingham);GBR; 0,93 € ; 4,66 € ;177
48;17/02/16;Lemon & Ginger Tea (Toulouse);FRA; 0,77 € ; 3,84 € ;149
49;18/02/16;Tomato Juice (Boston);USA; 0,80 € ; 4,01 € ;466
50;19/02/16;Orange Juice (Gdańsk);POL; 0,83 € ; 4,17 € ;477
51;20/02/16;Chocolate Chip Muffin (Kirkland);USA; 0,50 € ; 2,50 € ;338
52;21/02/16;Ham & Cheese Toastie (Paris);FRA; 0,69 € ; 3,44 € ;401
53;22/02/16;Granola Bar (Edinburgh);GBR; 1,03 € ; 5,13 € ;215
54;23/02/16;Tuna Melt Panini (Brussels);BEL; 1,02 € ; 5,11 € ;389
55;24/02/16;Peach Juice (Toulouse);FRA; 0,46 € ; 2,32 € ;150
56;25/02/16;Lemon & Ginger Tea (Albuquerque);USA; 0,72 € ; 3,58 € ;329
57;26/02/16;Chicken Fajita Wrap (Toronto);CAN; 0,99 € ; 4,97 € ;335
58;27/02/16;Still Water (Seattle);USA; 0,85 € ; 4,26 € ;321
59;28/02/16;Apple Juice (Vancouver);CAN; 0,96 € ; 4,78 € ;169
60;29/02/16;Tea (San Francisco);USA; 0,97 € ; 4,83 € ;204
61;01/03/16;Ham & Cheese Toastie (Sønderborg);DNK; 0,33 € ; 1,67 € ;108
62;02/03/16;Chicken Fajita Wrap (Auckland);NZL; 0,67 € ; 3,33 € ;182
63;03/03/16;Coffee (Manchester);GBR; 0,40 € ; 1,99 € ;166
64;04/03/16;Cheese & Pickle Sandwich (Vancouver);CAN; 0,37 € ; 1,85 € ;217
65;05/03/16;Tuna Melt Panini (Graz);AUT; 0,58 € ; 2,89 € ;294
66;06/03/16;Still Water (Sydney);AUS; 0,80 € ; 4,01 € ;191
67;07/03/16;Fruit Box (Manchester);GBR; 0,72 € ; 3,58 € ;398
68;08/03/16;Chicken Fajita Wrap (Cardiff);GBR; 0,58 € ; 2,90 € ;103
69;09/03/16;BLT Sandwich (Albuquerque);USA; 0,88 € ; 4,39 € ;475
70;10/03/16;Still Water (Graz);AUT; 0,74 € ; 3,69 € ;234
71;11/03/16;Tea (Geneva);CHE; 1,03 € ; 5,15 € ;106
72;12/03/16;Chocolate Twist (Sydney);AUS; 0,66 € ; 3,31 € ;207
73;13/03/16;Granola Bar (Portland);USA; 0,76 € ; 3,79 € ;229
74;14/03/16;Toast (Dublin);IRL; 0,51 € ; 2,57 € ;466
75;15/03/16;Blueberry Muffin (Hamilton);NZL; 0,58 € ; 2,89 € ;136
76;16/03/16;Green Tea (Cardiff);GBR; 0,49 € ; 2,45 € ;128
77;17/03/16;Still Water (Hamilton);NZL; 0,91 € ; 4,57 € ;275
78;18/03/16;Chocolate Twist (Manchester);GBR; 0,83 € ; 4,14 € ;422
79;19/03/16;Chocolate Chip Muffin (Canberra);AUS; 0,68 € ; 3,41 € ;203
80;20/03/16;Fruit Box (Glasgow);GBR; 0,91 € ; 4,55 € ;287
81;21/03/16;BLT Sandwich (Madison);USA; 0,39 € ; 1,94 € ;448
82;22/03/16;Porridge (Potsdam);DEU; 0,54 € ; 2,71 € ;109
83;23/03/16;Ham & Cheese Toastie (Kirkland);USA; 0,88 € ; 4,40 € ;144
84;24/03/16;Cheese & Pickle Sandwich (Sønderborg);DNK; 0,36 € ; 1,79 € ;457
85;25/03/16;Sparkling Water (Salzburg);AUT; 0,41 € ; 2,03 € ;260
86;26/03/16;Ham & Cheese Toastie (Odense);DNK; 0,63 € ; 3,14 € ;134
87;27/03/16;Butter Croissant (London);GBR; 0,86 € ; 4,31 € ;275
88;28/03/16;Sparkling Water (Canberra);AUS; 0,55 € ; 2,75 € ;420
89;29/03/16;Porridge (San Diego);USA; 0,81 € ; 4,07 € ;440
90;30/03/16;Apple Juice (Toronto);CAN; 0,92 € ; 4,62 € ;387
91;31/03/16;Chicken Fajita Wrap (Toulouse);FRA; 0,68 € ; 3,38 € ;341
92;01/04/16;Lemon & Ginger Tea (Kirkland);USA; 0,56 € ; 2,82 € ;322
93;02/04/16;Apple Juice (Hamburg);DEU; 0,36 € ; 1,80 € ;128
94;03/04/16;Porridge (Seattle);USA; 0,89 € ; 4,45 € ;361
95;04/04/16;Cheese & Pickle Sandwich (Sydney);AUS; 0,42 € ; 2,11 € ;148
96;05/04/16;Yoghurt (Brussels);BEL; 0,58 € ; 2,92 € ;197
97;06/04/16;Lemon & Ginger Tea (Birmingham);GBR; 1,01 € ; 5,04 € ;300
98;07/04/16;Chocolate Chip Muffin (Odense);DNK; 0,44 € ; 2,20 € ;225
99;08/04/16;Lemon & Ginger Tea (Kraków);POL; 0,91 € ; 4,57 € ;262
100;09/04/16;Ham & Cheese Toastie (Copenhagan);DNK; 0,48 € ; 2,40 € ;189
101;10/04/16;Lemon & Ginger Tea (Hamilton);NZL; 0,41 € ; 2,06 € ;116
102;11/04/16;Chicken Salad Sandwich (Salzburg);AUT; 0,84 € ; 4,22 € ;310
103;12/04/16;Still Water (Canberra);AUS; 0,80 € ; 4,00 € € ;453
104;13/04/16;Chocolate Twist (Austin);USA; 0,32 € ; 1,59 € ;113
105;14/04/16;Orange Juice (Munich);DEU; 0,43 € ; 2,17 € ;169
106;15/04/16;Lemon & Ginger Tea (Hamilton);NZL; 0,47 € ; 2,35 € ;424
107;16/04/16;Fruit Box (San Diego);USA; 0,53 € ; 2,63 € ;489
108;17/04/16;Fruit Box (Glasgow);GBR; 0,64 € ; 3,19 € ;381
109;18/04/16;Still Water (Seattle);USA; 0,38 € ; 1,92 € ;495
110;19/04/16;Blueberry Muffin (Edinburgh);GBR; 0,44 € ; 2,20 € ;451
111;20/04/16;Apple Juice (Odense);DNK; 0,83 € ; 4,14 € ;142
112;21/04/16;Almond Croissant (Sydney);AUS; 0,45 € ; 2,25 € ;111
113;22/04/16;Chicken Fajita Wrap (Portland);USA; 0,94 € ; 4,68 € ;444
114;23/04/16;Sparkling Water (Austin);USA; 0,56 € ; 2,78 € ;111
115;24/04/16;Chicken Salad Sandwich (London);GBR; 0,53 € ; 2,63 € ;352
116;25/04/16;Cheese & Pickle Sandwich (Auckland);NZL; 0,63 € ; 3,17 € ;176
117;26/04/16;BLT Sandwich (Potsdam);DEU; 0,45 € ; 2,24 € ;443
118;27/04/16;Butter Croissant (Salzburg);AUT; 0,37 € ; 1,87 € ;285
119;28/04/16;Chocolate Twist (Auckland);NZL; 0,78 € ; 3,92 € ;449
120;29/04/16;Almond Croissant (Katowice);POL; 1,00 € ; 4,99 € ;337
121;30/04/16;Toast (Copenhagan);DNK; 0,91 € ; 4,56 € ;464
122;01/05/16;Chocolate Chip Muffin (Albuquerque);USA; 0,46 € ; 2,29 € ;410
123;02/05/16;Blueberry Muffin (Kraków);POL; 0,39 € ; 1,96 € ;182
124;03/05/16;BLT Sandwich (Sydney);AUS; 0,80 € ; 3,98 € ;189
125;04/05/16;Fruit Box (Tromsø);NOR; 0,95 € ; 4,75 € ;101
126;05/05/16;Tea (Glasgow);GBR; 0,69 € ; 3,44 € ;394
127;06/05/16;Lemon & Ginger Tea (Kirkland);USA; 0,69 € ; 3,47 € ;395
128;07/05/16;Butter Croissant (Sydney);AUS; 0,64 € ; 3,20 € ;468
129;08/05/16;Peach Juice (Kraków);POL; 0,95 € ; 4,76 € ;258
130;09/05/16;Cheese & Pickle Sandwich (Graz);AUT; 1,02 € ; 5,09 € ;437
131;10/05/16;Coffee (Boston);USA; 0,95 € ; 4,76 € ;138
132;11/05/16;Chocolate Twist (Galway);IRL; 0,31 € ; 1,57 € ;336
133;12/05/16;Toast (Geneva);CHE; 0,68 € ; 3,42 € ;157
134;13/05/16;Still Water (Seattle);USA; 0,80 € ; 3,98 € ;144
135;14/05/16;Chicken Fajita Wrap (Dresden);DEU; 0,77 € ; 3,83 € ;411
136;15/05/16;Cheese & Pickle Sandwich (Sydney);AUS; 0,82 € ; 4,09 € ;341
137;16/05/16;Fruit Box (Potsdam);DEU; 0,88 € ; 4,42 € ;261
138;17/05/16;Lemon & Ginger Tea (Southampton);GBR; 0,51 € ; 2,53 € ;181
139;18/05/16;Orange Juice (Paris);FRA; 0,41 € ; 2,04 € ;280
140;19/05/16;Porridge (Odense);DNK; 0,89 € ; 4,43 € ;343
141;20/05/16;Toast (Seattle);USA; 0,32 € ; 1,59 € ;413
142;21/05/16;Still Water (Salzburg);AUT; 0,42 € ; 2,12 € ;300
143;22/05/16;Tomato Juice (Hamburg);DEU; 0,87 € ; 4,36 € ;469
144;23/05/16;Chocolate Chip Muffin (Auckland);NZL; 1,00 € ; 5,00 € € ;196
145;24/05/16;Chicken Fajita Wrap (Galway);IRL; 0,62 € ; 3,08 € ;359
146;25/05/16;Tomato Juice (Lausanne);CHE; 0,98 € ; 4,89 € ;350
147;26/05/16;Porridge (Geneva);CHE; 0,49 € ; 2,45 € ;400
148;27/05/16;Peach Juice (Melbourne);AUS; 0,44 € ; 2,21 € ;361
149;28/05/16;Granola Bar (Madison);USA; 0,84 € ; 4,21 € ;489
150;29/05/16;Orange Juice (Sydney);AUS; 0,87 € ; 4,36 € ;295
151;30/05/16;Peach Juice (Hamilton);NZL; 0,76 € ; 3,81 € ;443
152;31/05/16;Blueberry Muffin (Stuttgart);DEU; 0,95 € ; 4,75 € ;146
153;01/06/16;Green Tea (Brussels);BEL; 1,00 € ; 5,02 € ;116
154;02/06/16;Toast (Vancouver);CAN; 0,74 € ; 3,70 € ;387
155;03/06/16;Apple Juice (Toulouse);FRA; 0,49 € ; 2,43 € ;171
156;04/06/16;Yoghurt (Lausanne);CHE; 0,38 € ; 1,89 € ;168
157;05/06/16;Granola Bar (Albuquerque);USA; 0,53 € ; 2,64 € ;218
158;06/06/16;Blueberry Muffin (Sønderborg);DNK; 0,71 € ; 3,53 € ;373
159;07/06/16;Tomato Juice (Munich);DEU; 1,07 € ; 5,37 € ;476
160;08/06/16;Granola Bar (Copenhagan);DNK; 0,55 € ; 2,77 € ;500
161;09/06/16;Butter Croissant (Birmingham);GBR; 1,10 € ; 5,48 € ;190
162;10/06/16;Chocolate Chip Muffin (Stuttgart);DEU; 0,74 € ; 3,69 € ;317
163;11/06/16;Coffee (Melbourne);AUS; 0,49 € ; 2,45 € ;385
164;12/06/16;Blueberry Muffin (Hamburg);DEU; 0,40 € ; 1,98 € ;443
165;13/06/16;Peach Juice (Toulouse);FRA; 0,57 € ; 2,87 € ;361
166;14/06/16;Apple Juice (Canberra);AUS; 0,74 € ; 3,69 € ;377
167;15/06/16;Butter Croissant (Tromsø);NOR; 0,50 € ; 2,50 € ;426
168;16/06/16;Chicken Fajita Wrap (Austin);USA; 0,59 € ; 2,97 € ;328
169;17/06/16;Orange Juice (Southampton);GBR; 0,89 € ; 4,44 € ;368
170;18/06/16;BLT Sandwich (Paris);FRA; 0,74 € ; 3,68 € ;289
171;19/06/16;Apple Juice (Toulouse);FRA; 0,53 € ; 2,65 € ;453
172;20/06/16;Orange Juice (Lausanne);CHE; 1,00 € ; 5,00 € € ;390
173;21/06/16;Coffee (Dublin);IRL; 1,02 € ; 5,12 € ;417
174;22/06/16;Yoghurt (Hamilton);NZL; 1,04 € ; 5,19 € ;207
175;23/06/16;Cheese & Pickle Sandwich (Munich);DEU; 0,39 € ; 1,94 € ;135
176;24/06/16;Ham & Cheese Toastie (Dresden);DEU; 0,91 € ; 4,54 € ;172
177;25/06/16;Tea (Portland);USA; 0,87 € ; 4,36 € ;471
178;26/06/16;Chicken Salad Sandwich (Salzburg);AUT; 1,09 € ; 5,46 € ;430
179;27/06/16;Peach Juice (Potsdam);DEU; 0,57 € ; 2,86 € ;411
180;28/06/16;Toast (Stockholm);SWE; 0,79 € ; 3,93 € ;367
181;29/06/16;Peach Juice (Strasbourg);FRA; 0,54 € ; 2,69 € ;150
182;30/06/16;Chocolate Twist (Potsdam);DEU; 0,58 € ; 2,88 € ;152
183;01/07/16;Granola Bar (San Francisco);USA; 1,03 € ; 5,17 € ;454
184;02/07/16;Cheese & Pickle Sandwich (Manchester);GBR; 0,40 € ; 2,02 € ;323
185;03/07/16;Porridge (Vancouver);CAN; 0,50 € ; 2,49 € ;133
186;04/07/16;Ham & Cheese Toastie (Odense);DNK; 0,76 € ; 3,79 € ;278
187;05/07/16;Porridge (San Francisco);USA; 0,58 € ; 2,90 € ;485
188;06/07/16;Fruit Box (Katowice);POL; 0,75 € ; 3,75 € ;296
189;07/07/16;Ham & Cheese Toastie (Edinburgh);GBR; 1,01 € ; 5,03 € ;293
190;08/07/16;Sparkling Water (Salzburg);AUT; 0,43 € ; 2,13 € ;193
191;09/07/16;Ham & Cheese Toastie (London);GBR; 0,55 € ; 2,77 € ;365
192;10/07/16;Butter Croissant (Odense);DNK; 0,34 € ; 1,69 € ;222
193;11/07/16;Still Water (Manchester);GBR; 0,37 € ; 1,84 € ;425
194;12/07/16;Still Water (Katowice);POL; 1,01 € ; 5,05 € ;356
195;13/07/16;Coffee (Potsdam);DEU; 0,45 € ; 2,24 € ;343
196;14/07/16;Tuna Melt Panini (Melbourne);AUS; 0,72 € ; 3,58 € ;370
197;15/07/16;Lemon & Ginger Tea (Hamilton);NZL; 0,74 € ; 3,72 € ;255
198;16/07/16;Ham & Cheese Toastie (Stuttgart);DEU; 0,31 € ; 1,57 € ;382
199;17/07/16;Tuna Melt Panini (Odense);DNK; 0,68 € ; 3,41 € ;420
200;18/07/16;Lemon & Ginger Tea (Austin);USA; 0,54 € ; 2,68 € ;458
201;19/07/16;Tuna Melt Panini (Boston);USA; 0,40 € ; 2,01 € ;335
202;20/07/16;Cheese & Pickle Sandwich (Vancouver);CAN; 0,70 € ; 3,52 € ;313
203;21/07/16;Lemon & Ginger Tea (Melbourne);AUS; 0,83 € ; 4,17 € ;112
204;22/07/16;Porridge (Stockholm);SWE; 0,70 € ; 3,51 € ;290
205;23/07/16;Apple Juice (Paris);FRA; 0,63 € ; 3,13 € ;241
206;24/07/16;Sparkling Water (Melbourne);AUS; 0,30 € ; 1,50 € ;477
207;25/07/16;BLT Sandwich (Lausanne);CHE; 0,90 € ; 4,48 € ;214
208;26/07/16;Ham & Cheese Toastie (Brussels);BEL; 0,34 € ; 1,71 € ;427
209;27/07/16;Lemon & Ginger Tea (Southampton);GBR; 0,54 € ; 2,72 € ;406
210;28/07/16;Tea (Geneva);CHE; 0,47 € ; 2,33 € ;231
211;29/07/16;Orange Juice (Melbourne);AUS; 0,84 € ; 4,20 € ;397
212;30/07/16;Ham & Cheese Toastie (Dresden);DEU; 0,69 € ; 3,46 € ;448
213;31/07/16;Still Water (Dresden);DEU; 1,01 € ; 5,07 € ;379
214;01/08/16;Chocolate Twist (San Diego);USA; 0,33 € ; 1,64 € ;275
215;02/08/16;Chicken Salad Sandwich (Graz);AUT; 0,65 € ; 3,25 € ;351
216;03/08/16;Peach Juice (Odense);DNK; 0,60 € ; 3,01 € ;106
217;04/08/16;Orange Juice (Kirkland);USA; 0,76 € ; 3,79 € ;178
218;05/08/16;Toast (Stuttgart);DEU; 0,73 € ; 3,64 € ;312
219;06/08/16;Porridge (Geneva);CHE; 0,55 € ; 2,76 € ;372
220;07/08/16;Almond Croissant (Birmingham);GBR; 0,31 € ; 1,54 € ;481
221;08/08/16;Chocolate Chip Muffin (Strasbourg);FRA; 1,04 € ; 5,18 € ;483
222;09/08/16;Yoghurt (Munich);DEU; 0,49 € ; 2,44 € ;421
223;10/08/16;Yoghurt (Hamilton);NZL; 0,97 € ; 4,85 € ;477
224;11/08/16;Butter Croissant (Toronto);CAN; 0,32 € ; 1,58 € ;292
225;12/08/16;Yoghurt (Birmingham);GBR; 0,51 € ; 2,54 € ;323
226;13/08/16;Porridge (Brussels);BEL; 0,88 € ; 4,42 € ;225
227;14/08/16;Tea (Geneva);CHE; 0,73 € ; 3,66 € ;230
228;15/08/16;Ham & Cheese Toastie (London);GBR; 1,07 € ; 5,34 € ;197
229;16/08/16;Lemon & Ginger Tea (Odense);DNK; 1,07 € ; 5,36 € ;304
230;17/08/16;Tea (San Francisco);USA; 0,94 € ; 4,71 € ;455
231;18/08/16;Still Water (Dublin);IRL; 0,30 € ; 1,51 € ;404
232;19/08/16;Chicken Fajita Wrap (Edinburgh);GBR; 1,09 € ; 5,43 € ;334
233;20/08/16;Chicken Salad Sandwich (Vancouver);CAN; 0,75 € ; 3,73 € ;117
234;21/08/16;Chocolate Chip Muffin (Toulouse);FRA; 0,63 € ; 3,17 € ;108
235;22/08/16;Apple Juice (Odense);DNK; 0,35 € ; 1,73 € ;451
236;23/08/16;Still Water (Dublin);IRL; 0,68 € ; 3,39 € ;192
237;24/08/16;Orange Juice (Portland);USA; 0,64 € ; 3,19 € ;154
238;25/08/16;Yoghurt (Kraków);POL; 0,69 € ; 3,46 € ;444
239;26/08/16;Toast (Brussels);BEL; 0,95 € ; 4,74 € ;420
240;27/08/16;Chocolate Twist (Albuquerque);USA; 0,99 € ; 4,93 € ;478
241;28/08/16;Blueberry Muffin (Hamburg);DEU; 0,35 € ; 1,75 € ;447
242;29/08/16;Chicken Fajita Wrap (Vancouver);CAN; 0,64 € ; 3,21 € ;449
243;30/08/16;Lemon & Ginger Tea (Berlin);DEU; 0,66 € ; 3,30 € ;113
244;31/08/16;Still Water (Dublin);IRL; 0,49 € ; 2,45 € ;326
245;01/09/16;Yoghurt (Austin);USA; 0,47 € ; 2,33 € ;189
246;02/09/16;BLT Sandwich (Stuttgart);DEU; 0,83 € ; 4,17 € ;400
247;03/09/16;Tomato Juice (Glasgow);GBR; 0,94 € ; 4,70 € ;272
248;04/09/16;Yoghurt (San Diego);USA; 0,85 € ; 4,23 € ;402
249;05/09/16;Yoghurt (Boston);USA; 0,38 € ; 1,91 € ;390
250;06/09/16;Orange Juice (Cardiff);GBR; 0,45 € ; 2,26 € ;156
251;07/09/16;Almond Croissant (Potsdam);DEU; 0,76 € ; 3,79 € ;178
252;08/09/16;BLT Sandwich (Stockholm);SWE; 0,63 € ; 3,16 € ;245
253;09/09/16;Chicken Fajita Wrap (Dublin);IRL; 0,65 € ; 3,24 € ;162
254;10/09/16;Porridge (Manchester);GBR; 0,60 € ; 3,02 € ;319
255;11/09/16;Peach Juice (Munich);DEU; 0,32 € ; 1,59 € ;285
256;12/09/16;Chocolate Twist (Portland);USA; 1,01 € ; 5,04 € ;285
257;13/09/16;Chocolate Chip Muffin (Copenhagan);DNK; 0,86 € ; 4,29 € ;420
258;14/09/16;Green Tea (Salzburg);AUT; 0,99 € ; 4,94 € ;285
259;15/09/16;Butter Croissant (Graz);AUT; 0,77 € ; 3,86 € ;312
260;16/09/16;Still Water (Gdańsk);POL; 0,68 € ; 3,41 € ;465
261;17/09/16;Ham & Cheese Toastie (Portland);USA; 0,80 € ; 3,98 € ;142
262;18/09/16;Ham & Cheese Toastie (Graz);AUT; 0,97 € ; 4,85 € ;190
263;19/09/16;Butter Croissant (Cardiff);GBR; 0,66 € ; 3,29 € ;488
264;20/09/16;Tuna Melt Panini (Austin);USA; 0,31 € ; 1,56 € ;147
265;21/09/16;Blueberry Muffin (Graz);AUT; 1,08 € ; 5,38 € ;352
266;22/09/16;Orange Juice (Katowice);POL; 0,74 € ; 3,69 € ;212
267;23/09/16;Butter Croissant (Galway);IRL; 0,37 € ; 1,87 € ;187
268;24/09/16;Still Water (San Diego);USA; 1,02 € ; 5,12 € ;345
269;25/09/16;Tuna Melt Panini (Copenhagan);DNK; 0,65 € ; 3,25 € ;211
270;26/09/16;Granola Bar (Madison);USA; 0,87 € ; 4,33 € ;247
271;27/09/16;Ham & Cheese Toastie (Vancouver);CAN; 1,02 € ; 5,09 € ;484
272;28/09/16;Butter Croissant (Albuquerque);USA; 0,47 € ; 2,35 € ;464
273;29/09/16;Cheese & Pickle Sandwich (Birmingham);GBR; 0,32 € ; 1,62 € ;308
274;30/09/16;Chocolate Twist (Dublin);IRL; 0,98 € ; 4,88 € ;440
275;01/10/16;Chicken Salad Sandwich (Toronto);CAN; 0,53 € ; 2,63 € ;211
276;02/10/16;Chicken Salad Sandwich (Copenhagan);DNK; 0,47 € ; 2,34 € ;384
277;03/10/16;Porridge (Madison);USA; 0,90 € ; 4,48 € ;344
278;04/10/16;Orange Juice (Hamilton);NZL; 0,47 € ; 2,34 € ;216
279;05/10/16;Chocolate Chip Muffin (Vancouver);CAN; 0,47 € ; 2,33 € ;369
280;06/10/16;Fruit Box (Austin);USA; 1,03 € ; 5,15 € ;150
281;07/10/16;Green Tea (London);GBR; 0,47 € ; 2,37 € ;335
282;08/10/16;Coffee (Stockholm);SWE; 0,66 € ; 3,31 € ;394
283;09/10/16;Cheese & Pickle Sandwich (Potsdam);DEU; 0,40 € ; 2,00 € € ;221
284;10/10/16;Butter Croissant (Madison);USA; 0,63 € ; 3,13 € ;134
285;11/10/16;Tuna Melt Panini (Southampton);GBR; 0,91 € ; 4,56 € ;343
286;12/10/16;Blueberry Muffin (Toulouse);FRA; 0,92 € ; 4,59 € ;186
287;13/10/16;Chocolate Twist (Sønderborg);DNK; 0,84 € ; 4,20 € ;437
288;14/10/16;Toast (Hamburg);DEU; 0,62 € ; 3,10 € ;436
289;15/10/16;Green Tea (Potsdam);DEU; 0,84 € ; 4,22 € ;217
290;16/10/16;Blueberry Muffin (Sydney);AUS; 0,32 € ; 1,59 € ;415
291;17/10/16;Toast (Dublin);IRL; 0,97 € ; 4,87 € ;390
292;18/10/16;Chocolate Chip Muffin (Auckland);NZL; 0,59 € ; 2,94 € ;200
293;19/10/16;Coffee (Manchester);GBR; 0,41 € ; 2,06 € ;466
294;20/10/16;Green Tea (Edinburgh);GBR; 1,02 € ; 5,09 € ;221
295;21/10/16;Cheese & Pickle Sandwich (Copenhagan);DNK; 1,03 € ; 5,13 € ;326
296;22/10/16;Porridge (Stuttgart);DEU; 0,46 € ; 2,29 € ;255
297;23/10/16;Tuna Melt Panini (Odense);DNK; 0,94 € ; 4,70 € ;314
298;24/10/16;Tea (Edinburgh);GBR; 1,09 € ; 5,44 € ;349
299;25/10/16;Fruit Box (San Francisco);USA; 1,01 € ; 5,03 € ;498
300;26/10/16;Porridge (Madison);USA; 0,54 € ; 2,68 € ;177
301;27/10/16;Butter Croissant (Lille);FRA; 1,01 € ; 5,06 € ;334
302;28/10/16;Tomato Juice (Dresden);DEU; 0,72 € ; 3,62 € ;431
303;29/10/16;Still Water (Copenhagan);DNK; 0,66 € ; 3,32 € ;236
304;30/10/16;Blueberry Muffin (Austin);USA; 0,63 € ; 3,16 € ;346
305;31/10/16;Green Tea (Geneva);CHE; 0,83 € ; 4,14 € ;209
306;01/11/16;Toast (Sydney);AUS; 1,09 € ; 5,43 € ;190
307;02/11/16;Green Tea (Hamburg);DEU; 0,35 € ; 1,73 € ;161
308;03/11/16;Yoghurt (Toronto);CAN; 0,79 € ; 3,93 € ;242
309;04/11/16;Sparkling Water (Vancouver);CAN; 0,55 € ; 2,77 € ;454
310;05/11/16;Chocolate Chip Muffin (Galway);IRL; 0,78 € ; 3,90 € ;382
311;06/11/16;Toast (Southampton);GBR; 0,32 € ; 1,62 € ;420
312;07/11/16;Porridge (Cardiff);GBR; 0,96 € ; 4,80 € ;434
313;08/11/16;Sparkling Water (Munich);DEU; 0,55 € ; 2,74 € ;351
314;09/11/16;Tuna Melt Panini (Berlin);DEU; 0,95 € ; 4,74 € ;211
315;10/11/16;Chocolate Twist (Glasgow);GBR; 0,77 € ; 3,83 € ;203
316;11/11/16;Cheese & Pickle Sandwich (Toronto);CAN; 0,40 € ; 2,02 € ;308
317;12/11/16;Tomato Juice (Copenhagan);DNK; 0,96 € ; 4,78 € ;478
318;13/11/16;Sparkling Water (Lausanne);CHE; 0,99 € ; 4,95 € ;376
